"Timestamp","Ce varsta aveti?","Folositi deja un aparat de AC ?","Ce tip de aparat de AC folositi deja ?","Care dintre urmatoarele functionalitati ati dori sa existe in aparatul dvs. de AC ?","Este ceva ce va doriti de la un aparat de AC smart dar nu exista in lista de mai sus ?","Ce tip de aparat de AC veti alege la urmatoarea achizitie:","Ati cumpara un AC smart care sa prezinte functionalitatile alese sau prezentate de dvs mai sus ?"
"2021/02/26 5:38:13 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:38:46 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","e perfect","Aer conditionat 'smart'","Da"
"2021/02/26 5:39:07 pm EET","18 - 24","Da","","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Programare pe baza de profil (crearea unui set de optiuni);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii.","nu","Aer conditionat clasic","Da"
"2021/02/26 5:43:47 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Reglarea umidității din camera","nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:59:15 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Programare pe baza de profil (crearea unui set de optiuni);Reglarea umidității din camera","nu","Aer conditionat 'smart'","Da"
"2021/02/26 5:59:22 pm EET","18 - 24","Da","Clasic","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera;Posibilitatea vizualizarii temperaturii in functie de zone diferite ale incaperii."," ","Aer conditionat 'smart'","Da"
"2021/02/26 6:01:37 pm EET","18 - 24","Da","Clasic","Imi place asa cum e.","???","Aer conditionat clasic","Da"
"2021/02/26 6:03:21 pm EET","18 - 24","Nu","Nu am","Controlare prin Smartphone;Monitorizarea temperaturii;Monitorizarea umiditatii;Reglarea umidității din camera","Nu","Aer conditionat 'smart'","Da"
"2021/02/26 6:04:17 pm EET","18 - 24","Da","Clasic","Pornire/Oprire pe baza de miscare (prezenta/lipsa unei persoane in camera);Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","Nu","Aer conditionat clasic","Da"
"2021/02/26 6:21:41 pm EET","18 - 24","Da","Clasic","Monitorizarea umiditatii;Pornire/Oprire pe baza de programare intervale orare;Reglarea umidității din camera","","Aer conditionat 'smart'","Da"
